reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId,sentiment
b77b4459-051d-4168-abc1-7714ebadbdce,Tiago Marcon Ferreira,https://play-lh.googleusercontent.com/a/AGNmyxbQdZYBVqBwKtDhGKodjv7L1b1h6yZ8KuTGcIjE=mo,Péssimo app. Se você quiser alterar ou cancelar um pedido somente através de atendimento que funciona até às 21:00 hrs. Tentaram uma interação com linguagem informal mas ficou muito exagerado,1,2,8.11.4,2022-12-24 09:53:10,,,most_relevant,com.vanuatu.aiqfome,0
adca3664-6974-4295-89bf-c13af25fde8b,Fabio dos Santos Oliveira Ribeiro,https://play-lh.googleusercontent.com/a-/ACB-R5TuiJ8cKAx24uXtApTiUxjrI-3XsJSf5U2caA9SQQ,Oferecem uma coisa antes e na hora que faz o cadastramento não tem mais a promoção.,1,0,,2023-03-11 21:39:58,"Olá, obrigado por seu contato, estamos em constante aprimoramento e seu feedback é de extrema importância.
Pedimos a gentileza de entrar em contato com a Equipe do SAC. Lá eles poderão te auxiliar da maneira correta, o link é: https://api.whatsapp.com/send?phone=551156966000.
Atenciosamente,
Equipe Habib's",2023-03-13 12:46:46,newest,habibs.alphacode.com.br,0
b9422559-f198-4d94-b063-a8fecad356ba,Violeta Ondulada,https://play-lh.googleusercontent.com/a-/ACB-R5QTl-ey0yA4FPQIriZLYoMkxiZZu81DBJnQvv1X,O app tem vários descontos o que é bom! Sem falar que ums dos meus lanches favorito e hambúrguer!! E de hambúrguer tem vários descontos!!! Recomendo!!!,5,15,3.20.0,2023-01-05 10:21:09,,,most_relevant,com.mcdo.mcdonalds,1
0aed9ad7-dac7-4826-a53b-43f3f9fdbfad,Murilo Henri,https://play-lh.googleusercontent.com/a-/ACB-R5QTZm-kToLuCrSkN8NaTxQbUvWPAB5wb8NTJunUCQ,"App funciona mt bem, mas o serviço é muito ruim. Nada a reclamar dos entregadores, mas o serviço da uber eats é porco. Raramente é possível pedir pois sempre está como só retirada sem entregadores ou muito longe, isso se tratando de restaurantes que habitualmente funcionam e entregam por outras plataformas, além de cobrar taxa além da taxa de entrega, o que faz o app ser o menos viável de todos. Quando funciona, a pesquisa não é refinada corretamente para resultados do que se foi pesquisado.",2,2,6.89.10005,2021-12-23 15:02:26,,,most_relevant,com.ubercab.eats,0
2068ee30-a167-4f51-8900-3a043ea23518,Jessica Ribeiro,https://play-lh.googleusercontent.com/a-/ACB-R5SaE8wUHWwbwcG9YXcXeki45WbSK_Hkv1DQi5J7lw,"Péssimo em quesito reembolso.. estou aguardando desde julho/2022 , e não recebi nada. Hoje me ocorreu outro cancelamento, feito pelo estabelecimento. Duvido muito que irei receber também. Não indico de jeito nenhum, para quem deseja fazer os pagamentos pelo cartão. Por se houver cancelamento pela parte do estabelecimento ou entregador, pode esquecerem que não irão receber reembolso nenhum!!!!!",1,3,2.0.24,2023-01-14 19:34:53,"Olá, Jessica!
Para verificarmos a sua última solicitação de reembolso e auxiliarmos com o último pedido, fale com nosso atendimento via Messenger: m.me/pede99food (digite o link no seu navegador).
99Food: Entrega de comida online para a sua fome!",2023-01-18 12:35:08,most_relevant,com.xiaojukeji.didi.brazil.customer,0
5a6e1af1-bf64-4dba-8c4a-0c2bf479261e,Thiago Massoni,https://play-lh.googleusercontent.com/a/AGNmyxZcbgk9o97X0bM0Asix_UhuXG6-PRy4W9nKO-kH=mo,"Aplicativo merd4, não entra nos cupons, só trava e desloga, um lixo",1,1,3.13.5,2023-03-08 18:57:00,,,newest,burgerking.com.br.appandroid,0
8c94a190-5a26-4ee9-af44-85ab2ad31535,RODRIGO GOMES,https://play-lh.googleusercontent.com/a-/ACB-R5RQAgM17sz9TZjFfYxylqjJPPDndtVVS6TEFIB8Kw,Show,5,0,23.5.1,2023-03-12 17:08:51,,,newest,com.cerveceriamodelo.modelonow,1
4ba9ccf5-943a-4cfa-aee5-ae139df4343f,Rosa Morais,https://play-lh.googleusercontent.com/a-/ACB-R5Qu6hxqhDs9JL8VtwadvBJJ69Q3WDnlhTPpbzEQgwo,"Tantas barreiras para finalizar um pedido e por fim fala de atualizar para finalizar o pedido, mas não da opção! Eu hein!",2,0,,2022-06-30 19:23:40,"Lamentamos a sua experiência com nosso app! Caso precise de ajuda ou mais informações, por favor, nos contate pela nossa inbox (m.me/pede99food) para que possamos atendê-la. Estamos à sua disposição! 💛",2022-06-30 21:23:35,newest,com.xiaojukeji.didi.brazil.customer,0
5994499b-dbca-44ed-8357-02e91d803611,Thata Brito,https://play-lh.googleusercontent.com/a/AGNmyxbLWlEmYl2hmjf5TbjUK9YEEuZjjLaF9Q1sfHv9=mo,"O aplicativo melhorou muito mais agente ganha os pontos e na hora da troca fala que o item tá indisponível sendo que quando agente adiciona pra comprar tem , muito chato isso.fora isso bom",4,0,3.10.1,2023-03-10 23:00:53,"Olá, você pode enviar mais detalhes dessa situação para o e-mail habibs-android@alphacode.com.br gostaríamos de entender melhor a situação junto a nossa equipe técnica para lhe ajudar. Obrigado Equipe Habib's..",2023-03-13 13:09:38,most_relevant,habibs.alphacode.com.br,1
1baa03c9-bd1d-4447-85ee-539f1a93ebb8,Andréia Ortt,https://play-lh.googleusercontent.com/a-/ACB-R5QUHqn19_jv67Bxu2O5_4GO1pDlwYgXxFMp1IXt2OE,Cada dia pior os BUGs desse app que te deixa na mão sempre que precisa. Cada dia um bug diferente e vc não consegue pagar os lanches pelo app e nem na entrega.,2,1,1.3.34,2022-07-05 13:05:18,"Olá Andréia! Tudo bem? Para que possamos te ajudar, pedimos que entre em contato por um dos nossos canais de atendimento, tudo bem? Envia uma inbox em nossa página do Facebook (m.me/pede99food) ou entre em contato pelo telefone 0300 313 0099 informando os seus dados cadastrados no app, por favor? Ficamos à sua disposição!",2022-07-06 20:05:49,newest,com.xiaojukeji.didi.brazil.customer,0
7df20292-0a2b-42fd-9db9-d94b9d5e766a,Douglas Nascimento,https://play-lh.googleusercontent.com/a/AGNmyxbEa-lF98df3f_BUyoixhBJAa8pl3eLoeeEjKTL=mo,"Serviços abusivos, sempre vem com as ""vendas casadas"" de valores mínimos e alem de ter que pagar a taxa. . .péssimo",2,0,,2022-07-01 22:57:28,,,newest,com.ubercab.eats,0
35ce1564-d3a8-4d8b-8a4c-b14c8c24b4d4,Tiago Alcantara,https://play-lh.googleusercontent.com/a-/ACB-R5QPwiC7_VVaei_57pjYlBSTcOCWVNcIzowa-rAzyw,Experiência ruim principalmente no que diz promoções. Eu devo já ter perdido mais de 100 reais de crédito por não saber onde aplicar. O app é pouco claro,2,0,7.43.20230209-71288,2023-02-23 17:16:32,,,newest,com.grability.rappi,0
